clean_image,distorted_image,method,psnr
4554619,4554617,ref,28.60054
4554623,4554620,new,43.141956
4554623,4554621,ref,29.440834
4554627,4554624,new,40.87986
4554627,4554625,ref,28.65267
4554631,4554628,new,42.267742
4554631,4554629,ref,30.143894
4554635,4554632,new,38.452595
4554635,4554633,ref,29.306126
4554639,4554636,new,37.427963
4554639,4554637,ref,29.385357
4554643,4554640,new,41.47343
4554643,4554641,ref,30.473001
4554647,4554644,new,32.719482
4554647,4554645,ref,41.77848
4554655,4554652,new,30.362339
4554655,4554653,ref,35.82887
4554659,4554656,new,36.66358
4554659,4554657,ref,30.306435
4554671,4554668,new,31.615763
4554671,4554669,ref,41.73594
4554675,4554672,new,34.178123
4554675,4554673,ref,41.61318
4554683,4554680,new,39.41848
4554683,4554681,ref,33.59049
4554691,4554688,new,37.233814
4554691,4554689,ref,30.197266
4554703,4554700,new,33.236374
4554703,4554701,ref,29.52922
4554711,4554708,new,34.24476
4554711,4554709,ref,31.988337
4554727,4554724,new,38.350903
4554727,4554725,ref,34.025703
4554731,4554728,new,33.89821
4554731,4554729,ref,43.06237
4554739,4554736,new,34.49484
4554739,4554737,ref,30.880062
4554743,4554740,new,34.12226
4554743,4554741,ref,31.072094
4554779,4554776,new,29.233587
4554779,4554777,ref,39.04551
4554839,4554836,new,38.701633
4554839,4554837,ref,31.832886
4554843,4554840,new,35.876633
4554843,4554841,ref,41.36539
4554855,4554852,new,41.71441
4554855,4554853,ref,33.965923
4554887,4554884,new,36.666164
4554887,4554885,ref,32.004112
4554891,4554888,new,25.686197
4554891,4554889,ref,27.90934
4554903,4554900,new,40.013382
4554903,4554901,ref,36.194225
4554911,4554908,new,37.73501
4554911,4554909,ref,34.36473
4554923,4554920,new,40.091682
4554923,4554921,ref,34.7074
4554931,4554928,new,41.25923
4554931,4554929,ref,33.03878
4554963,4554960,new,38.36807
4554963,4554961,ref,33.1727
4555003,4555000,new,42.801136
4555003,4555001,ref,35.098843
4555027,4555024,new,42.67876
4555027,4555025,ref,33.67606
4555051,4555048,new,35.69195
4555051,4555049,ref,33.82119
4555083,4555080,new,39.58774
4555083,4555081,ref,34.493587
4555091,4555088,new,34.891068
4555091,4555089,ref,40.27988
4555127,4555124,new,38.374954
4555127,4555125,ref,33.289585
4555159,4555156,new,34.76054
4555159,4555157,ref,39.750187
4555223,4555220,new,43.848106
4555223,4555221,ref,39.540924
4555227,4555224,new,41.82144
4555227,4555225,ref,35.192207
4555327,4555324,new,37.219414
4555327,4555325,ref,34.44592
4555383,4555380,new,40.658627
4555383,4555381,ref,36.124123
4555419,4555416,new,37.307735
4555419,4555417,ref,35.23269
4555427,4555424,new,40.121918
4555427,4555425,ref,34.020924
4555511,4555508,new,38.09548
4555511,4555509,ref,38.341015
4555519,4555516,new,44.50566
4555519,4555517,ref,34.355618
4555543,4555540,new,32.195175
4555543,4555541,ref,35.479088
4555665,4555662,new,30.133724
4555665,4555663,ref,37.395454
4555685,4555682,new,31.1116
4555685,4555683,ref,29.31211
4555697,4555694,new,30.541117
4555697,4555695,ref,39.613636
4555701,4555698,new,30.466179
4555701,4555699,ref,34.389893
4555705,4555702,new,29.937613
4555705,4555703,ref,36.844387
4555725,4555722,new,40.07466
4555725,4555723,ref,30.238111
4555729,4555726,new,32.16749
4555729,4555727,ref,34.573578
4555733,4555730,new,33.40409
4555733,4555731,ref,36.39433
4555753,4555750,new,27.611755
4555753,4555751,ref,30.855934
4555765,4555762,new,30.820627
4555765,4555763,ref,37.590424
4555825,4555822,new,35.29346
4555825,4555823,ref,38.94133
4555833,4555830,new,32.43443
4555833,4555831,ref,42.31396
4555869,4555866,new,31.079369
4555869,4555867,ref,35.89433
4555909,4555906,new,31.974636
4555909,4555907,ref,38.829807
4555929,4555926,new,34.19081
4555929,4555927,ref,32.024025
4555933,4555930,new,31.478355
4555933,4555931,ref,33.649925
4555941,4555938,new,30.421915
4555941,4555939,ref,35.65987
4555949,4555946,new,31.422085
4555949,4555947,ref,36.234028
4555961,4555958,new,32.62954
4555961,4555959,ref,41.512676
4556001,4555998,new,32.50371
4556001,4555999,ref,37.62926
4556021,4556018,new,32.799015
4556021,4556019,ref,39.20337
4556041,4556038,new,33.93207
4556041,4556039,ref,40.766174
4556057,4556054,new,33.943233
4556057,4556055,ref,39.0841
4556109,4556106,new,34.49265
4556109,4556107,ref,40.67225
4556125,4556122,new,35.081055
4556125,4556123,ref,40.965202
4556145,4556142,new,34.16126
4556145,4556143,ref,38.828533
4556197,4556194,new,35.206764
4556197,4556195,ref,38.94526
4556249,4556246,new,30.992748
4556249,4556247,ref,37.632164
4556293,4556290,new,33.003292
4556293,4556291,ref,41.271896
4556301,4556298,new,35.64188
4556301,4556299,ref,40.530975
4556309,4556306,new,39.336502
4556309,4556307,ref,32.480988
4556369,4556366,new,32.602097
4556369,4556367,ref,38.035233
4556385,4556382,new,34.70247
4556385,4556383,ref,39.99833
4556429,4556426,new,35.110203
4556429,4556427,ref,41.55069
4556449,4556446,new,33.47326
4556449,4556447,ref,40.229713
4556453,4556450,new,31.386402
4556453,4556451,ref,41.176716
4556493,4556490,new,32.958733
4556493,4556491,ref,36.29336
4556573,4556570,new,33.388397
4556573,4556571,ref,37.76119
4556585,4556582,new,33.481937
4556585,4556583,ref,41.37302
4556609,4556606,new,35.34003
4556609,4556607,ref,34.494057
4562631,4562628,new,31.035065
4562631,4562629,ref,41.935524
4562635,4562632,new,31.905556
4562635,4562633,ref,47.00531
4562639,4562636,new,34.185993
4562639,4562637,ref,42.4576
4562643,4562640,new,33.87981
4562643,4562641,ref,43.16266
4562655,4562652,new,29.34104
4562655,4562653,ref,35.035034
4562683,4562680,new,33.53311
4562683,4562681,ref,41.823135
4562695,4562692,new,36.70665
4562695,4562693,ref,45.404655
4562743,4562740,new,34.041626
4562743,4562741,ref,38.965828
4562759,4562756,new,36.785847
4562759,4562757,ref,44.30613
4562855,4562852,new,37.330856
4562855,4562853,ref,44.88798
4562867,4562864,new,38.926525
4562867,4562865,ref,44.06824
4562871,4562868,new,36.56986
4562871,4562869,ref,47.542747
4562895,4562892,new,37.43135
4562895,4562893,ref,42.1429
4562907,4562904,new,37.90583
4562907,4562905,ref,41.85288
4562911,4562908,new,36.67832
4562911,4562909,ref,40.237938
4562931,4562928,new,33.784584
4562931,4562929,ref,38.93741
4562943,4562940,new,38.41998
4562943,4562941,ref,45.556015
4562987,4562984,new,36.75489
4562987,4562985,ref,46.17411
4562991,4562988,new,36.175957
4562991,4562989,ref,45.83484
4563035,4563032,new,36.839813
4563035,4563033,ref,43.925743
4563107,4563104,new,36.46601
4563107,4563105,ref,39.18903
4563119,4563116,new,39.01612
4563119,4563117,ref,45.278984
4563179,4563176,new,45.594193
4563179,4563177,ref,36.511883
4563183,4563180,new,38.12972
4563183,4563181,ref,43.377724
4563227,4563224,new,37.645412
4563227,4563225,ref,45.138634
